"filename", "language", "Dart", "comment", "blank", "total"
"d:\dev\1CS Projects\BDD\frontend\lib\profile\presentation\component\biography_page.dart", "Dart", 138, 5, 6, 149
"d:\dev\1CS Projects\BDD\frontend\lib\profile\presentation\screens\edit_profile.dart", "Dart", 137, 0, 4, 141
"d:\dev\1CS Projects\BDD\frontend\lib\profile\presentation\screens\profile_screen.dart", "Dart", 434, 26, 17, 477
"d:\dev\1CS Projects\BDD\frontend\lib\profile\presentation\screens\student_courses.dart", "Dart", 14, 0, 3, 17
"d:\dev\1CS Projects\BDD\frontend\lib\tempfile.dart", "Dart", 0, 205, 31, 236
"d:\dev\1CS Projects\BDD\frontend\lib\to-dos\data\datasource\todo_datasource.dart", "Dart", 87, 2, 10, 99
"d:\dev\1CS Projects\BDD\frontend\lib\to-dos\data\model\todo_model.dart", "Dart", 24, 0, 4, 28
"d:\dev\1CS Projects\BDD\frontend\lib\to-dos\data\repository\todo_repo_emplem.dart", "Dart", 61, 0, 8, 69
"d:\dev\1CS Projects\BDD\frontend\lib\to-dos\domaine\entities\to_do_entity.dart", "Dart", 15, 1, 4, 20
"d:\dev\1CS Projects\BDD\frontend\lib\to-dos\domaine\repository\base_todo_repo.dart", "Dart", 10, 0, 3, 13
"d:\dev\1CS Projects\BDD\frontend\lib\to-dos\domaine\usecases\add_todo_usecase.dart", "Dart", 11, 0, 4, 15
"d:\dev\1CS Projects\BDD\frontend\lib\to-dos\domaine\usecases\delete_todo_usecase.dart", "Dart", 11, 0, 4, 15
"d:\dev\1CS Projects\BDD\frontend\lib\to-dos\domaine\usecases\edit_todo_usecase.dart", "Dart", 11, 0, 4, 15
"d:\dev\1CS Projects\BDD\frontend\lib\to-dos\domaine\usecases\get_done_todo_usecase.dart", "Dart", 11, 0, 4, 15
"d:\dev\1CS Projects\BDD\frontend\lib\to-dos\domaine\usecases\get_undone_todo_usecase.dart", "Dart", 11, 0, 4, 15
"d:\dev\1CS Projects\BDD\frontend\lib\to-dos\presentation\controller\todo_bloc\todo_bloc.dart", "Dart", 74, 0, 7, 81
"d:\dev\1CS Projects\BDD\frontend\lib\to-dos\presentation\controller\todo_bloc\todo_event.dart", "Dart", 17, 0, 9, 26
"d:\dev\1CS Projects\BDD\frontend\lib\to-dos\presentation\controller\todo_bloc\todo_state.dart", "Dart", 55, 11, 7, 73
"d:\dev\1CS Projects\BDD\frontend\lib\to-dos\presentation\screens\todos.dart", "Dart", 1220, 52, 34, 1306
"Total", "-", 10096, 679, 823, 11598
